Berco's,"O-1, Sector 12, Noida","Chinese, Thai","₹1,100",12:30 PM to 11 PM,3.8
Desi Vibes,"G-50, 1st Floor, Sector 18, Noida","North Indian, Mughlai","₹1,400","11:30 AM to 4:30 PM, 6:30 PM to 11:30 PM (Mon-Sun)",3.8
Kaffiiaa,"J-14, 1st & 2nd Floor, Sector 18, Noida","Cafe, Italian","₹1,000",10:30 AM to 12 Midnight,3.7
KFC,"P-21, Near Vodafone Store, Sector 18 Market, Sector 18, Noida","American, Fast Food",₹500,11 AM to 11 PM,2.7
Biryani Paradise,"G-24, Sector 18, Noida","Biryani, North Indian, Hyderabadi",₹800,"11 AM to 10:30 PM (Mon, Wed-Sun), 11:30 AM to 11:10 PM (Tue)",3.7
Domino's Pizza,"C-2/22, Sector 18, Noida","Pizza, Fast Food",₹700,11 AM to 11 PM,3.5
Metro Dhaba,"B-1/35, Sector 18, Noida","North Indian, Mughlai, Biryani, Chinese",₹500,11 AM to 12 Midnight,3.8
Smoked Biryani House,"1st & 2nd Floor, G-35, Sector 18, Noida",North Indian,"₹1,000",11 AM to 11 PM,3.8
TGI Friday's,"319-320, 3rd Floor, The Great India Place Mall, Sector 38-A, Near Sector 38, Noida","American, Tex-Mex","₹2,500",12 Noon to 12 Midnight,3.5
Pirates Of Grill,"C-417, 3rd Floor, DLF Mall Of India, Sector 18, Noida","North Indian, Continental, Mughlai, Asian","₹1,800","12 Noon to 3 PM, 7 PM to 11 PM",4.2
Mainland China,"Ground Floor, Plot K-1, Dharam Palace, Sector 18, Noida",Chinese,"₹1,800","12:30 PM to 3:30 PM, 7:30 PM to 11:30 PM",3.7
The Patiala Kkitchen,"K-1 Block, Dharam Palace, Sector 18, Noida",North Indian,"₹1,600",11:30 AM to 11:30 PM (Mon-Sun),3.9
Barbeque Nation,"A-79-A, Ground Floor, Hotel Savoy Suites, Sector 16, Noida","North Indian, Chinese, Mediterranean","₹1,600","12 Noon to 3 PM, 7 PM to 11 PM",4.2
Khidmat,"Shop 56, B-1, Central Market, Sector 50, Noida","North Indian, Mughlai, Chinese",₹750,11 AM to 11 PM,3.4
Taco Bell,"M-18, Food Court, 4th Floor, DLF Mall of India, Sector 18, Noida","Mexican, Fast Food",₹550,11 AM to 11 PM,3.6
Crazy Noodles,"3rd Floor, The Great India Place, Sector 38-A, Near Sector 38, Sector 38, Noida","Chinese, Thai","₹1,100",11 AM to 11 PM,3.5
SodaBottleOpenerWala,"3rd Floor, DLF Mall of India, Sector 18, Noida","Parsi, Iranian","₹1,300",12 Noon to 12 Midnight,4
Happy Hakka,"149, Jaipuria Plaza, Sector 26, Noida",Chinese,₹650,Mon-Sun (12 Noon to 11 PM),3.6
Chili's Grill & Bar,"3rd Floor, DLF Mall Of India, Sector 18, Noida","Mexican, American, Italian","₹1,500",12 Noon to 12 Midnight,3.9
