name,location,address,cuisines,cost for 2,rating
Gulati,Pandara Road Market," 6, Pandara Road Market, New Delhi",Mughlai North Indian ,"₹1,500",4.5
Bikanervala,"Sector 29, Gurgaon"," Plot 3-5, Sector 29, Gurgaon",Mithai Chinese Street Food Fast Food South Indian North Indian ,₹550,3.8
Ardor,Connaught Place," N-55/56 & 88/89, Outer Circle, Connaught Place, New Delhi",Italian Continental Chinese North Indian ,"₹2,500",4.1
Berco's,Connaught Place," G-2/43, Middle Circle, Connaught Place, New Delhi",Thai Chinese ,"₹1,100",3.9
Wendy's,"Sector 29, Gurgaon"," SCO 19, Main Market, Sector 29, Gurgaon",Fast Food Burger ,₹400,3.5
Tossin Pizza,"DLF Galleria, DLF Phase 4"," SF-114, 1st Floor, Galleria Market, DLF Phase 4, Gurgaon",Italian Pizza ,₹900,4.2
Desi Vibes,Sector 18," G-50, 1st Floor, Sector 18, Noida",Mughlai North Indian ,"₹1,400",3.8
Biryani Blues,"Supermart 1, DLF Phase 4"," B-202 & 203, Supermart 1, DLF Phase 4, Gurgaon",Hyderabadi Biryani ,"₹1,000",3.7
Rang De Basanti Urban Dhaba,Hauz Khas Village," 1-A, 1st Floor, Hauz Khas Village, New Delhi",North Indian ,"₹1,100",4.6
Diggin,Anand Lok," Anand Lok Shopping Centre, Opposite Gargi College, Anand Lok, New Delhi",Cafe Continental Italian ,"₹1,350",4.4
Burbee's Cafe,Sector 18," G-56, 2nd Floor, Sector 18, Noida",North Indian Chinese Cafe Italian American ,₹850,3.8
Pita Pit,"Cyber Hub, DLF Cyber City"," K-3-B, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon",Salad Healthy Food ,₹600,3.9
QD's Restaurant,Delhi University-GTB Nagar," 2520, 1st Floor, Hudson Lane, Kingsway Camp, Delhi University-GTB Nagar, New Delhi",North Indian Chinese ,₹700,3.8
Farzi Cafe,Connaught Place," E Block, Connaught Place, New Delhi",Continental North Indian ,"₹2,200",4.5
Caffe Tonino,Connaught Place," 1st Floor, PVR Plaza Building, H Block, Connaught Place, New Delhi",Italian Pizza ,"₹1,400",4.0
Naturals Ice Cream,Connaught Place," L-8, Outer Circle, Connaught Place, New Delhi",Desserts Ice Cream ,₹150,4.9
Unplugged Courtyard,Connaught Place," Near Odeon Cinema, L Block, Connaught Place, New Delhi",Continental North Indian ,"₹1,600",4.1
Chaayos,"DLF Galleria, DLF Phase 4"," SG-006, Ground Floor, Galleria Market, DLF Phase 4, Gurgaon",Tea Cafe ,₹400,3.7
Chili's Grill & Bar,"DLF Place Mall, Saket"," 161-A, Ground Floor, DLF Place Mall, Saket, New Delhi",Italian American Mexican ,"₹1,500",4.2
Hauz Khas Social,Hauz Khas Village," 9-A & 12, Hauz Khas Village, New Delhi",North Indian Asian American Continental ,"₹1,600",4.3
The Junkyard Cafe,Connaught Place," 91, 2nd Floor, N Block, Connaught Place, New Delhi",Asian Mediterranean North Indian ,"₹1,400",4.0
Nite Bites,"Sector 45, Gurgaon"," Sector 45, Gurgaon",Continental Chinese North Indian ,₹500,4.0
The Flying Saucer Cafe,"Epicuria Food Mall, Nehru Place"," Ground Floor, Epicuria Food Mall, Nehru Place Metro Station New Delhi, Nehru Place, New Delhi",Continental Mediterranean Italian ,"₹2,400",4.4
The Vault Cafe,Connaught Place," F-60, 2nd Floor, Connaught Place, New Delhi",Continental Asian Mediterranean North Indian ,"₹1,600",3.9
Indus Flavour,Delhi University-GTB Nagar," 2510, Ground Floor, Hudson Line, Kingsway Camp, Delhi University-GTB Nagar, New Delhi",Cafe Chinese North Indian ,₹700,4.0
Sbarro,Connaught Place," N-4, Connaught Place, New Delhi",Italian Pizza ,₹600,3.6
Flavors Of Chennai,Malviya Nagar," 6, Corner Market, Near Hanuman Temple, Malviya Nagar, New Delhi",South Indian ,₹400,3.9
Burger King,"Select Citywalk Mall, Saket"," 2nd Floor, Select Citywalk Mall, Saket, New Delhi",Fast Food Burger ,₹500,3.7
Phonebooth Café,Vijay Nagar," G-14 B, Hudson Lane, Vijay Nagar, New Delhi",Italian Chinese Continental North Indian Cafe ,₹800,4.2
The Chatter House,"Epicuria Food Mall, Nehru Place"," Lower Basement, Epicuria Food Mall, Nehru Place Metro Station, Nehru Place, New Delhi",North Indian Italian Finger Food ,"₹1,800",4.4
