Burbee's Cafe,"G-56, 2nd Floor, Sector 18, Noida","American, Italian, Cafe, Chinese, North Indian",₹850,11 AM to 11 PM,3.8
Wendy's,"D-4208, 3rd Floor, DLF Mall of India, Sector 18, Noida","Burger, Fast Food",₹400,11 AM to 11 PM,3.6
2 Bros Kitchen,"Plot 14, C-98, Sector 41, Noida","North Indian, Chinese, Fast Food",₹600,12 Noon to 11:30 PM,3.6
McDonald's,"P-16, Atta Market, Sector 18, Noida",Fast Food,₹500,8 AM to 11 PM,3.8
Wat-a-Burger!,"Shop 4, JOP Plaza, Near Lenskart, Sector 18, Noida",Fast Food,₹200,11 AM to 10:30 PM,4.3
Mumbai Matinee,"1st Floor, J-19, Sector 18, Noida","Fast Food, Italian, North Indian, Mexican","₹1,000",11 AM to 12 Midnight,3.7
Tawak,"H-224/H, 1st floor, Near Indian Oil Petrol Pump, Sector 63, Noida","North Indian, Mughlai, Asian, Thai","₹1,500","12 Noon to 3:30 PM, 7 PM to 11:30 PM",4
Theos,"Dynamic House, Main Dadri Road, Near HP Petrol Pump, Sector 41, Noida","Cafe, Italian, Desserts, Bakery","₹1,500",11 AM to 12 Midnight,4.4
Legends Barbeques,"311A, 2nd Floor, Spice World Mall, Sector 25, Noida","North Indian, Chinese, Mediterranean, Asian, Continental","₹1,300","12 Noon to 3:30 PM, 6:30 PM to 11 PM",3.8
Mad Over Donuts,"J-52,Ground Floor,  Main Market, Sector 18, Noida","Cafe, Desserts",₹450,11 AM to 11 PM,4.1
Basil Tree,"G-43 & 44, Main Market, Near Radisson Hotel, Sector 18, Noida","Italian, North Indian, Chinese","₹1,200",12 Noon to 11 PM,3.5
New Town Cafe - Park Plaza,"Park Plaza Hotel, C Block, Sector 55, Noida","Continental, Chinese, North Indian","₹2,800",7 AM to 12 Midnight,4
The Yellow Chilli,"H-1, A/31, Commercial Market, Sector 63, Noida","North Indian, Mughlai","₹1,600",12 Noon to 12 Midnight,3.5
London Cafe,"H-224, Opposite Ginger Hotel, Sector 63, Noida","Cafe, North Indian, Italian","₹1,300",10:30 AM to 10:30 PM,4
Diet N Delicacy,"28B, Ground floor, Pearls Plaza, Sector 18, Noida","Cafe, Continental, North Indian",₹450,"12 Midnight to 4 AM, 8 AM to 12 Midnight (Mon, Tue, Thu, Fri, Sat, Sun), 12 Midnight to 4 AM, 8 AM to 11:59 AM (Wed)",3.7
Cafe Delhi Heights,"3rd Floor, DLF Mall of India, Sector 18, Noida","Continental, American, Cafe","₹1,500",Mon-Sun (11 AM to 11:59 PM),3.7
TFK - The Flaming Kick,"1st Floor, Ansal Fortune Arcade, Sector 18, Noida","North Indian, Asian, Continental","₹2,350",12 Noon to 12 Midnight,3.5
Chaayos,"DLF IT Park, Sector 62, Noida","Tea, Cafe",₹400,"8 AM to 9 PM (Mon-Sat), Sun Closed",3.7
Xiian,"G-45, Sector 18 Market, Sector 18, Noida","Italian, Continental, North Indian, Chinese","₹1,400",12 Noon to 12 Midnight,3.5
Nirula's,"C-135, Near Sector 15 Metro Station, Sector 2, Noida","Fast Food, North Indian, Desserts, Ice Cream","₹1,100",11 AM to 11 PM,2.4
Swagath,"J-57, Near Centrestage Mall, Sector 18, Noida","Seafood, Chettinad, North Indian, Mangalorean, Chinese, Andhra","₹2,000",11 AM to 11:30 PM,3.7
Fit Bites,"B-5, Ground Floor, Wave Silver Tower, Sector 18, Noida","Cafe, Healthy Food",₹800,Mon-Sun (8 AM to 1 AM),4
The Tandoori Village,"J-57, 1st Floor, Sector 18, Noida","North Indian, Mughlai, Italian, Chinese","₹1,500",11:30 AM to 12 Midnight,3.5
S-18 - Radisson Blu,"Radisson Blu Hotel, L-2, Sector 18, Noida","Mediterranean, Continental, North Indian, Italian","₹3,200","6:30 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7:30 PM to 11:30 PM",3.5
Lemon Twist,"H-1, A/16, Sector 63, Noida","North Indian, Chinese, Asian","₹1,300","12 Noon to 3:15 PM, 7 PM to 11:15 PM",2.8
Mithaas,"G-20, Ground Floor, Ashirwad Complex, Sector 53, Noida","North Indian, Chinese, South Indian",₹650,11 AM to 10:30 PM,3.4
The Great Kabab Factory - Park Plaza,"Park Plaza Hotel, C Block, Sector 55, Noida","North Indian, Mughlai","₹3,000","12:30 PM to 3 PM, 7 PM to 11:30 PM",3.8
Smaaash,"4th Floor, DLF Mall of India, Sector 18, Noida","North Indian, Thai, Continental","₹1,350",11 AM to 11 PM,3.6
Turquoise Cottage - TC Original 1997,"Gardens Galleria Mall, Plot A-2, Sector 38, Noida","Continental, American, Italian, Mediterranean","₹1,900",12 Noon to 11:50 PM,3.7
MY Spice Kitchen & Cafe,"G-7 & G-8, BJ Mart, Street 1, Near Hero Honda Showroom, Jagat Farm, Gamma 1, Greater Noida, Noida","Cafe, Italian, Thai, Continental, Pizza, Mexican, Chinese","₹1,000",9 AM to 10:30 PM,3.7
Cafe R.I.P,"B-1/61, Central Market, Sector 50, Noida",Cafe,₹700,11 AM to 11 PM,3.6
Zest Bar and Lounge,"K-24, Near HSBC Bank, Sector 18, Noida","Finger Food, North Indian, Chinese","₹2,000",12 Noon to 12 Midnight,3.5
Nazeer Delicacies,"111, Ground Floor, MSX Mall, Near Pari Chowk, Greater Noida, Noida","North Indian, Mughlai",₹650,"11 AM to 5 PM, 6 PM to 11 PM",2.5
Burger Point,"Shop 8, Parsvanath Bibhab Plaza, Alpha-1 Commercial Belt, Greater Noida, Noida","Fast Food, American",₹400,10:30 AM to 10 PM,3.8
Gola Sizzlers,"K-4, 1st Floor, Ocean Heights, Sector 18, Noida","Chinese, North Indian, Mughlai, Continental","₹1,600",12 Noon to 11 PM,3.7
Flavor Pirates,"Plot 7, IHDP Business Park, Sector 127, Noida","North Indian, Mughlai, Chinese",₹900,11 AM to 11 PM,2.8
Flluid - Mosaic Hotels,"Mosaic Hotels, C-1, Sector 18, Noida","Continental, North Indian, Mexican","₹2,200","7:30 AM to 3:30 PM, 7:30 PM to 11:30 PM",3.4
